,Date,PMS,AGO,Kero,Price Per Barell,Exchange rates,Time,Exrates,Int Price in KSH,Local Price in KSH
0,14/01/2010,94.03,87.45,75.83,89.15,,2010-01-14,80.56800454545456,45.17382141652374,85.77
1,14/01/2011,95.67,88.71,77.51,89.17,,2011-01-14,81.02907142857143,45.442530184186886,87.29666666666667
2,14/02/2011,98.08,91.72,79.52,88.58,,2011-02-14,81.4734,45.389394792452826,89.77333333333333
3,14/03/2011,102.44,94.53,83.97,102.86,,2011-03-14,84.20550869565217,54.474079398960896,93.64666666666666
4,14/04/2011,111.17,107.52,90.91,109.53,,2011-04-14,83.88981578947369,57.789003291956305,103.2
5,14/05/2011,115.35,108.02,92.61,100.9,,2011-05-14,85.43300952380953,54.21503560347411,105.32666666666667
6,14/06/2011,114.93,106.3,85.71,96.26,,2011-06-14,89.04928095238094,53.911218770290496,102.31333333333333
7,14/07/2011,115.39,106.12,86.16,97.3,,2011-07-14,89.89773333333333,55.01288964360587,102.55666666666666
8,14/08/2011,117.22,108.97,88.96,86.33,,2011-08-14,92.78595909090905,50.37869086992564,105.05
9,14/09/2011,117.75,108.77,88.29,85.52,,2011-09-14,96.35726363636364,51.82687538479131,104.93666666666667
10,14/10/2011,120.5,110.94,89.95,86.32,,2011-10-14,101.26979,54.97866838238994,107.13
11,14/11/2011,124.13,114.3,94.87,97.16,,2011-11-14,93.67556363636363,57.24225008118925,111.10000000000001
12,14/12/2011,119.06,110.98,90.74,98.56,,2011-12-14,86.66284499999998,53.72006291320754,106.92666666666668
13,14/01/2012,111.95,107.9,87.11,100.27,,2012-01-14,86.34256666666668,54.450120501048225,102.32000000000001
14,14/02/2012,111.32,105.29,83.74,102.2,,2012-02-14,83.17611428571428,53.46288603773585,100.11666666666667
15,14/03/2012,111.69,105.12,84.13,106.16,,2012-03-14,83.00098750000002,55.41751467295599,100.31333333333333
16,14/04/2012,118.5,108.8,86.28,103.32,,2012-04-14,83.18778947368422,54.05636734856009,104.52666666666669
17,14/05/2012,121.43,108.44,87.0,94.66,,2012-05-14,84.46184545454547,50.28401440708977,105.62333333333333
18,14/06/2012,117.67,105.51,83.2,82.3,,2012-06-14,84.78873999999998,43.88750504402515,102.12666666666667
19,14/07/2012,108.46,97.51,74.4,87.9,,2012-07-14,84.14471818181819,46.517740428816474,93.45666666666666
20,14/08/2012,106.48,97.08,73.97,94.13,,2012-08-14,84.07544545454545,49.77372126186391,92.50999999999999
21,14/09/2012,108.95,101.07,79.65,94.51,,2012-09-14,84.61329999999998,50.29435838364779,96.55666666666666
22,14/10/2012,115.26,106.11,86.01,89.49,,2012-10-14,85.1116086956522,47.903382780968016,102.46
23,14/11/2012,113.68,105.85,84.57,86.53,,2012-11-14,85.6285681818182,46.60025160234421,101.36666666666667
24,14/12/2012,112.61,105.79,86.44,87.86,,2012-12-14,85.99398888888891,47.5184393948288,101.61333333333334
25,14/01/2013,111.6,103.99,83.86,94.76,,2013-01-14,86.89961363636365,51.78998357347057,99.81666666666666
26,14/02/2013,113.57,106.2,85.93,95.31,,2013-02-14,87.44552999999998,52.41782053018867,101.89999999999999
27,14/03/2013,117.69,107.37,88.54,92.94,,2013-03-14,85.81764210526316,50.162840611717975,104.53333333333335
28,14/04/2013,117.65,106.44,83.83,92.02,,2013-04-14,84.18904500000002,48.723747930188686,102.64
29,14/05/2013,113.24,101.06,79.46,94.51,,2013-05-14,84.14617727272727,50.01669945940538,97.92
30,14/06/2013,108.18,99.16,81.52,95.77,,2013-06-14,85.48844999999997,51.492005386792435,96.28666666666668
31,14/07/2013,109.52,102.86,79.49,104.67,,2013-07-14,86.85947391304347,57.17975556275635,97.29
32,14/08/2013,112.26,104.44,83.93,106.57,,2013-08-14,87.49293809523809,58.64227932584605,100.21
33,14/09/2013,113.88,105.55,85.56,106.29,,2013-09-14,87.41287142857145,58.43467990026956,101.66333333333334
34,14/10/2013,112.27,104.47,85.01,100.54,,2013-10-14,85.31037727272725,53.944058685534586,100.58333333333333
35,14/11/2013,108.87,103.25,82.79,93.86,,2013-11-14,86.10302857142858,50.82786328122193,98.30333333333334
36,14/12/2013,109.28,104.52,83.07,97.63,,2013-12-14,86.30938888888888,52.99613608315862,98.95666666666666
37,14/01/2014,110.59,104.73,85.07,94.62,,2014-01-14,86.21431818181819,51.305652744425394,100.13
38,14/02/2014,111.55,105.8,83.07,100.82,,2014-02-14,86.27784,54.70774735094339,100.13999999999999
39,14/03/2014,113.61,104.87,83.91,100.8,,2014-03-14,86.48874285714285,54.83059924528301,100.79666666666667
40,14/04/2014,114.16,103.82,83.16,102.07,,2014-04-14,86.71628999999999,55.6674950962264,100.38
